Date,V2Weight,SPY
2017-01-03,1.0,193.9681396484375
2017-01-04,1.0,195.12208557128903
2017-01-05,1.0,194.9670867919922
2017-01-06,1.0,195.66465759277344
2017-01-09,1.0,195.0187225341797
2017-01-10,1.0,195.0187225341797
2017-01-11,1.0,195.5699005126953
2017-01-12,1.0,195.07904052734372
2017-01-13,1.0,195.52685546875
2017-01-17,1.0,194.83792114257807
2017-01-18,1.0,195.26849365234372
2017-01-19,1.0,194.54513549804688
2017-01-20,1.0,195.25991821289065
2017-01-23,1.0,194.7518310546875
2017-01-24,1.0,196.00051879882807
2017-01-25,1.0,197.6969757080078
2017-01-26,1.0,197.49029541015625
2017-01-27,1.0,197.1802520751953
2017-01-30,1.0,195.9574279785156
2017-01-31,1.0,195.9402313232422
2017-02-01,1.0,196.01773071289065
2017-02-02,1.0,196.14686584472656
2017-02-03,1.0,197.4989471435547
2017-02-06,1.0,197.1458282470703
2017-02-07,1.0,197.1544342041016
2017-02-08,1.0,197.41281127929688
2017-02-09,1.0,198.583984375
2017-02-10,1.0,199.3676300048828
2017-02-13,1.0,200.4527130126953
2017-02-14,1.0,201.2535552978516
2017-02-15,1.0,202.30419921875
2017-02-16,1.0,202.1319580078125
2017-02-17,1.0,202.45062255859372
2017-02-21,1.0,203.6562042236328
2017-02-22,1.0,203.475341796875
2017-02-23,1.0,203.61312866210935
2017-02-24,1.0,203.8715057373047
2017-02-27,1.0,204.19009399414065
2017-02-28,1.0,203.63900756835935
2017-03-01,1.0,206.4894256591797
2017-03-02,1.0,205.1891021728516
2017-03-03,1.0,205.31825256347656
2017-03-06,1.0,204.7068328857422
2017-03-07,1.0,204.0954132080078
2017-03-08,1.0,203.71652221679688
2017-03-09,1.0,203.974853515625
2017-03-10,1.0,204.68966674804688
2017-03-13,1.0,204.7929534912109
2017-03-14,1.0,204.00929260253903
2017-03-15,1.0,205.77471923828125
2017-03-16,1.0,205.3699188232422
2017-03-17,1.0,205.00924682617188
2017-03-20,1.0,204.78440856933597
2017-03-21,1.0,202.1550750732422
2017-03-22,1.0,202.6308135986328
2017-03-23,1.0,202.41448974609372
2017-03-24,1.0,202.2674865722656
2017-03-27,1.0,202.05990600585935
2017-03-28,1.0,203.5303192138672
2017-03-29,1.0,203.7205810546875
2017-03-30,1.0,204.36924743652344
2017-03-31,1.0,203.8935089111328
2017-04-03,1.0,203.5388946533203
2017-04-04,1.0,203.66867065429688
2017-04-05,1.0,203.0631866455078
2017-04-06,1.0,203.6341094970703
2017-04-07,1.0,203.4264678955078
2017-04-10,1.0,203.54757690429688
2017-04-11,1.0,203.30532836914065
2017-04-12,1.0,202.41448974609372
2017-04-13,1.0,201.0998992919922
2017-04-17,1.0,202.881591796875
2017-04-18,1.0,202.27615356445312
2017-04-19,1.0,201.90423583984372
2017-04-20,1.0,203.54757690429688
2017-04-21,1.0,202.8988800048828
2017-04-24,1.0,205.13038635253903
2017-04-25,1.0,206.3238983154297
2017-04-26,1.0,206.1942138671875
2017-04-27,1.0,206.3671722412109
2017-04-28,1.0,205.9174346923828
2017-05-01,1.0,206.4363555908203
2017-05-02,1.0,206.51422119140625
2017-05-03,1.0,206.2633819580078
2017-05-04,1.0,206.50552368164065
2017-05-05,1.0,207.31858825683597
2017-05-08,1.0,207.2839813232422
2017-05-09,1.0,207.0937042236328
2017-05-10,1.0,207.46560668945312
2017-05-11,1.0,207.04180908203125
2017-05-12,1.0,206.69581604003903
2017-05-15,1.0,207.83750915527344
2017-05-16,1.0,207.64724731445312
2017-05-17,1.0,203.9627685546875
2017-05-18,1.0,204.78440856933597
2017-05-19,1.0,206.1163787841797
2017-05-22,1.0,207.1629180908203
2017-05-23,1.0,207.6212921142578
2017-05-24,1.0,208.1056365966797
2017-05-25,1.0,209.10025024414065
2017-05-26,1.0,209.0570373535156
2017-05-30,1.0,208.8754119873047
2017-05-31,1.0,208.82354736328125
2017-06-01,1.0,210.4841461181641
2017-06-02,1.0,211.1847076416016
2017-06-05,1.0,211.02903747558597
2017-06-06,1.0,210.3544158935547
2017-06-07,1.0,210.74365234375
2017-06-08,1.0,210.84738159179688
2017-06-09,1.0,210.5273895263672
2017-06-12,1.0,210.4841461181641
2017-06-13,1.0,211.51339721679688
2017-06-14,1.0,211.2452545166016
2017-06-15,1.0,210.8387451171875
2017-06-16,1.0,210.88479614257807
2017-06-19,1.0,212.6404266357422
2017-06-20,1.0,211.20639038085935
2017-06-21,1.0,211.1542510986328
2017-06-22,1.0,211.05865478515625
2017-06-23,1.0,211.31069946289065
2017-06-26,1.0,211.4497528076172
2017-06-27,1.0,209.7462158203125
2017-06-28,1.0,211.62356567382807
2017-06-29,1.0,209.7636260986328
2017-06-30,1.0,210.15475463867188
2017-07-03,1.0,210.51107788085935
2017-07-05,1.0,210.99778747558597
2017-07-06,1.0,209.06832885742188
2017-07-07,1.0,210.42416381835935
2017-07-10,1.0,210.650146484375
2017-07-11,1.0,210.4936981201172
2017-07-12,1.0,212.07550048828125
2017-07-13,1.0,212.4318389892578
2017-07-14,1.0,213.4226531982422
2017-07-17,1.0,213.3965759277344
2017-07-18,1.0,213.5095977783203
2017-07-19,1.0,214.66552734375
2017-07-20,1.0,214.7611389160156
2017-07-21,1.0,214.5699615478516
2017-07-24,1.0,214.51779174804688
2017-07-25,1.0,215.03924560546875
