Date,V7-price top5,V7-price + V2,V7-price + voltgt20,"V7-price + min(V2, voltgt20)",B dip sleeve (price-only gates),"B + min(V2, voltgt20)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2008-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2008-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99951.67961024409,100416.58219620772
2008-01-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,97502.24677248177,96012.69921123321
2008-01-07,99513.77354572441,100000.0,99513.77354572441,100000.0,98264.57045521543,100000.0,99828.66155663384,97419.46355350717,95556.43387175731
2008-01-08,98488.05563933408,100000.0,98488.05563933408,100000.0,96127.9002467347,100000.0,98510.79693671777,95846.27937433298,93076.7671314604
2008-01-09,99080.95028055293,99970.0,99080.95028055292,99970.0,96947.11753608641,99970.0,99958.56543641316,96853.66120444742,95060.50052369793
2008-01-10,102086.70987209369,100879.8190485118,102086.70987209368,100879.8190485118,100431.41709377407,101047.88277455195,101189.2315187546,97488.46311893406,95199.36882310951
2008-01-11,101018.1551749781,100563.04244373087,101018.15517497808,100563.04244373087,97866.38462851263,100273.6496490132,99661.82415966498,96701.84146655118,93334.65459130713
2008-01-14,101342.14866841339,100659.80258959392,101342.14866841336,100659.80258959392,99859.10501037305,100886.17052483055,100982.1043850446,97481.5454247139,94961.31536755452
2008-01-15,99678.25626527844,100163.99581117865,99678.25626527841,100163.99581117865,96623.24482287232,99905.42807985231,98551.46928847392,95335.68554645347,92342.78789518838
2008-01-16,99496.54048819895,100109.21542371147,99496.54048819892,100109.21542371147,94903.80624796942,99372.0742874054,96565.56791848477,94514.57889275502,91350.9211990696
2008-01-17,97330.67524834607,99455.45479401136,97330.67524834604,99455.45479401136,92596.48037596486,98647.28641949099,94273.51770666761,92065.10171079898,90081.33303881237
2008-01-18,96509.67597304683,99154.0504309532,96509.6759730468,99154.0504309532,91654.91971133635,98297.03642080486,93468.81142092332,91119.84609608499,89962.30631103486
2008-01-22,92915.00642049285,96199.51935412237,92915.00642049282,96199.51935412237,89351.70663139591,96320.93719368806,92262.20587042686,90195.27704774095,87641.34187444129
2008-01-23,91247.58447899992,94818.42757563216,91247.5844789999,94818.42757563216,84543.70686214745,92174.52691224574,92063.0379153989,92361.8234923713,87304.1032627429
2008-01-24,92281.56463405858,95677.98236171756,92281.56463405855,95677.98236171756,86099.40445577375,93531.41740151502,93608.85664278457,93141.5200598351,89089.4663426936
2008-01-25,92138.85303395185,95559.61108778461,92138.85303395182,95559.61108778461,85592.90975142649,93091.2455522122,92497.40699126877,91796.0137526126,87264.43525415941
2008-01-28,92672.8926457734,96002.7042319316,92672.89264577338,96002.7042319316,84895.1839122904,92484.1656657331,92786.4910040556,93314.01897340234,87938.90491021387
2008-01-29,92471.02222291662,95835.40520029116,92471.02222291658,95835.40520029116,84613.04303540936,92238.27597073697,93034.68530189211,93776.32197432172,88097.59964657485
2008-01-30,91681.2313399107,95180.58445773329,91681.23133991065,95180.58445773329,84156.586347818,91840.20232716294,92717.08181894575,93086.28936655796,88018.24849472317
2008-01-31,92746.01081198532,96064.9210312238,92746.01081198528,96064.9210312238,85857.79037289016,93325.42342409932,94283.8885671238,94783.68902303826,89525.89011053542
2008-02-01,93571.07778941585,96748.59458947966,93571.07778941581,96748.59458947966,86038.08660980157,93482.20568069784,95219.73254777776,96308.56759385449,90438.40565480251
2008-02-04,92915.78113363365,96206.55504492043,92915.78113363359,96206.55504492043,84689.66106468115,92310.13132041383,94474.64671640554,95094.18706745934,89168.81749454528
2008-02-05,93794.76576682617,96934.64736650576,93794.76576682611,96934.64736650576,86648.64462151617,94018.335387948,93111.06016764794,92548.1282315831,86629.63360668844
2008-02-06,92778.54901023084,96094.45879399295,92778.5490102308,96094.45879399295,84079.00102833392,91787.7766598655,91646.20299948283,91802.95361892963,84923.62924593173
2008-02-07,91937.38860745553,95397.47998131748,91937.38860745549,95397.47998131748,83783.5694832886,91529.76213216424,92700.27689636928,92410.10692863245,85518.74775013453
2008-02-08,93541.56247124246,96729.1179264462,93541.56247124243,96729.1179264462,84070.56019892485,91780.58163864579,92829.02796785394,91816.74466317627,86490.77287461919
2008-02-11,93028.65846239186,96304.81240024924,93028.65846239183,96304.81240024924,85158.16874208752,92730.46320908316,93609.34025830087,92285.95057691797,87423.12999052039
2008-02-12,92971.11085789886,96257.15301144254,92971.11085789884,96257.15301144254,85558.18297128218,93078.93011776729,94144.26989895973,93141.5200598351,86927.19664246101
2008-02-13,94823.08817666199,97791.1010303567,94823.08817666197,97791.1010303567,87210.83793002756,94517.27160723509,96019.13535602532,94093.68597807031,88831.5788828469
2008-02-14,92461.31697658313,95842.54431929743,92461.31697658311,95842.54431929743,87242.3678876013,94544.60881104595,93910.38311048703,93265.7207557433,87224.75967823357
2008-02-15,92714.68515181048,96052.6512168185,92714.68515181047,96052.6512168185,87317.82915189383,94610.03074660934,93490.08396544617,93245.01940797546,86927.19664246101
2008-02-19,92806.09970917845,96128.41578922149,92806.09970917845,96128.41578922149,87302.90781981187,94597.09677698808,92797.98456442314,93507.2118440385,86768.50190610002
2008-02-20,94520.72527872735,97549.22101809268,94520.72527872735,97549.22101809268,87797.31579237974,95025.66952441451,93866.3405481289,93783.21749644507,87165.24253067364
2008-02-21,92899.65906778371,96210.81617085951,92899.65906778371,96210.81617085951,87662.17490238612,94908.65589195097,92698.70774328905,93003.47658478757,86332.07813825822
2008-02-22,92802.85693017852,96130.61426045824,92802.85693017852,96130.61426045824,87602.36686401651,94856.85429757333,92857.99615927562,93576.20401876645,86649.47517832254
2008-02-25,95582.34957432258,98433.94279194965,95582.34957432258,98433.94279194965,89847.23100506532,96801.46614648246,94252.84645302381,94756.11432524395,87085.89894616434
2008-02-26,95514.96250087066,98378.42479840692,95514.96250087066,98378.42479840692,88911.06721171188,95994.56735406665,94901.73112993292,95466.7522016892,87423.12999052039
2008-02-27,95324.14184691504,98221.19175458942,95324.14184691504,98221.19175458942,88529.40944816814,95664.91595711319,94635.46413649415,95370.14837567217,87859.55375836219
2008-02-28,94587.78902712326,97614.20636674968,94587.78902712326,97614.20636674968,87867.2236430559,95092.46935624757,93628.91598993835,94438.69119590377,87522.3151466638
2008-02-29,93186.9476070756,96457.67633368666,93186.94760707559,96457.67633368666,86466.478372956,93879.72748367871,91461.92648506022,92334.21923178117,85201.35071007021
2008-03-03,92757.88068394653,96102.37508638165,92757.88068394651,96102.37508638165,86804.04824119943,94172.93676277714,90948.94084712428,92113.42949125383,84645.90021445091
2008-03-04,93935.81546098639,97078.70036622364,93935.81546098639,97078.70036622364,85466.85467321477,93012.36927433466,91010.33087614641,91761.58048618973,85121.99955821855
2008-03-05,93988.71327109021,97122.43448941741,93988.7132710902,97122.43448941741,86197.04482730765,93648.09376905394,91131.91324073478,92341.13692600136,85538.58175442627
2008-03-06,91305.15805431108,94904.01139013635,91305.15805431106,94904.01139013635,84048.69411726344,91780.84693574444,88905.43934109616,90429.87261391283,83654.03351833216
2008-03-07,90441.14576757283,94185.55706708004,90441.14576757283,94185.55706708004,83113.57339457177,90963.92838330565,88542.70622433732,89498.39326204757,83455.66320604534
2008-03-10,88474.15671638155,92546.81657604374,88474.15671638155,92546.81657604374,78855.21375592475,87235.46762408582,86866.94639795872,88318.5051276669,81848.8364340897
2008-03-11,87693.1102936487,91893.21681127854,87693.1102936487,91893.21681127854,81716.20735815467,89767.50174456953,88766.89686277056,91492.45557450858,84963.30482185757
2008-03-12,86183.18976841691,90627.4256563903,86183.18976841691,90627.4256563903,80600.08063860191,88786.62502026946,88106.77497428156,90636.83435669878,84725.25136630257
2008-03-13,87320.69395529648,91584.35543731181,87320.69395529648,91584.35543731181,82435.32299967812,90403.94325661026,88739.32948745678,90836.93753085614,85379.88701806529
2008-03-14,86459.12515221837,90861.44571297821,86459.12515221839,90861.44571297821,81490.0818389049,89574.6528490243,86812.64303878645,89429.36413382486,83812.73582203548
2008-03-17,85857.91572035883,90355.98829079067,85857.91572035884,90355.98829079067,80992.57551310054,89137.16199940443,85970.0260228458,88525.48904254971,82285.26020193151
2008-03-18,88636.28521979736,92695.13030095927,88636.28521979737,92695.13030095927,84535.51386137525,92256.53404064033,89161.51679510833,92203.15257654546,85955.17151797634
2008-03-19,87216.08749701254,91506.94500966271,87216.08749701256,91506.94500966271,84562.58868822588,92280.17219763159,87392.79438968237,89919.2713953344,83832.56982632722
2008-03-20,91731.5135602118,95297.00582361083,91731.51356021182,95297.00582361083,87201.56715609561,94584.03153986356,89859.1020935198,91584.8467021223,85479.07217420869
2008-03-24,90617.84722123342,94371.44326852211,90617.84722123345,94371.44326852211,88212.13633129837,95460.93052099762,91342.05464018791,93415.38240954523,88434.83825827324
2008-03-25,91277.80864073765,94921.28207904342,91277.80864073768,94921.28207904342,89308.59519223568,96410.17843627279,91573.81474246204,93505.56371817194,88930.77160633262
2008-03-26,91147.92636829267,94813.2287240963,91147.9263682927,94813.2287240963,89865.30089742063,96890.95721245078,91220.82947857956,92361.43917602574,88672.88414648589
2008-03-27,90018.29969693303,93873.18713472039,90018.29969693306,93873.18713472039,87819.51019325381,95126.37295041782,90232.12105428378,92070.20129307668,86708.9847585401
2008-03-28,91267.07902765767,94914.99215612387,91267.0790276577,94914.99215612387,90421.49711558971,97381.1573630528,89868.43583626048,91189.59951280511,86272.56855804064
2008-03-31,90961.4077668721,94660.68108905424,90961.40776687213,94660.68108905424,89945.14189909234,96970.74148826019,90546.4099927238,91508.5525168286,86728.8263301742
2008-04-01,93718.11924991944,96955.73955798279,93700.57269249519,96955.73955798279,91614.73511724094,98394.46314080745,93742.24178465236,94725.90114792334,90438.40565480251
2008-04-02,93615.00567944573,96870.39894241127,93614.88502014401,96868.52064336186,91625.52251296287,98401.26618900617,93309.71009179816,94788.35994477669,90240.0353425157
2008-04-03,93475.04111748419,96754.53356073139,93505.62285115903,96755.46100899302,92138.93098754817,98746.87039671451,93021.30979903678,95024.0862878884,90438.40565480251
2008-04-04,95690.0188718363,98588.68425514302,95235.27585371568,98545.2290309049,94878.01329129278,100586.5684480812,94005.71145334585,94920.0917629182,90974.01457878773
2008-04-07,95437.99732083348,98380.959575723,95038.19573030024,98341.29928191939,95434.22133452551,100957.2963969025,94504.58359626925,94968.61909224479,90775.63669915857
2008-04-08,94961.83299917982,97988.281571615,94673.6365126375,97964.06961278833,95892.38039070703,101259.54736923511,94273.20542548929,94871.59399638741,90081.33303881237
2008-04-09,94490.8985300817,97599.52699178153,94310.03497068725,97587.83090390365,94954.55650630553,100639.60768089551,93476.58767222907,94185.10892412116,89069.63233840186
2008-04-10,95013.05739301206,98030.99676361651,94723.53860350589,98015.7060776346,95406.61093957657,100946.25440673243,94110.77360167823,94316.84074226266,90339.22049865911
2008-04-11,93869.23029517266,97086.8695995985,93816.03903321575,97076.66587222734,93591.93362375618,99698.67504183094,91972.73909410946,92486.28286274288,87839.71218672812
2008-04-14,92765.6167748032,96173.71514757165,92938.7650720477,96168.90178322583,92809.94463489318,99151.62432435827,91196.8151810517,92174.21799014375,87442.97156215447
2008-04-15,93036.22610493601,96398.15610349736,93154.88936651753,96392.53759366214,93171.58547089311,99408.50400166045,91465.04591383036,92389.17646919703,87561.99072258963
2008-04-16,94863.05642888235,97912.4314099248,94608.1998174217,97897.00867886958,94842.14536286509,100601.25235098331,93658.12648338614,94892.3692511448,90001.98188696071
