index,V7-price top5,V7-price + V2,V7-price + voltgt20,"V7-price + min(V2, voltgt20)",B dip sleeve (price-only gates),"B + min(V2, voltgt20)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
V7-price top5,1.0,0.9699466680837587,0.9386401184840103,0.9150584080293903,0.770439901842022,0.7178367553314395,0.7645604262908227,0.6163086320185576,0.6480333543356196
V7-price + V2,0.9699466680837587,1.0,0.9137225445767709,0.9414019736757165,0.7378176075704,0.7341565726625525,0.7032581118831472,0.5395189403796642,0.5811500113291034
V7-price + voltgt20,0.9386401184840103,0.9137225445767709,1.0,0.9735633858421406,0.7188316550702439,0.7340836710182417,0.7303793895041175,0.5881635033613651,0.6310758738548763
"V7-price + min(V2, voltgt20)",0.9150584080293903,0.9414019736757165,0.9735633858421406,1.0,0.697501560800506,0.753755452198642,0.6903556223236902,0.5392429798282298,0.5867783098648831
B dip sleeve (price-only gates),0.770439901842022,0.7378176075704,0.7188316550702439,0.697501560800506,1.0,0.9190436415913796,0.7756193321900444,0.6587192710440322,0.6759582007487369
"B + min(V2, voltgt20)",0.7178367553314395,0.7341565726625525,0.7340836710182417,0.753755452198642,0.9190436415913796,1.0,0.7122301428913436,0.5856641462236669,0.629117672970837
CONTROL universe equal weight,0.7645604262908227,0.7032581118831472,0.7303793895041175,0.6903556223236902,0.7756193321900444,0.7122301428913436,1.0,0.8845963696873604,0.893963214249411
CONTROL SPY buy&hold,0.6163086320185576,0.5395189403796642,0.5881635033613651,0.5392429798282298,0.6587192710440322,0.5856641462236669,0.8845963696873604,1.0,0.918959060387816
CONTROL QQQ buy&hold,0.6480333543356196,0.5811500113291034,0.6310758738548763,0.5867783098648831,0.6759582007487369,0.629117672970837,0.893963214249411,0.918959060387816,1.0
