strategy,ROI,CAGR,MDD,Sharpe,Calmar,2024,2025,2026_OOS
V7.3 WITH filings+fundamentals,190.01,50.39,-31.58,1.46,1.6,76.7,64.7,-1.4
"same engine, fundamentals BLANKED",75.74,24.12,-34.66,0.86,0.7,63.6,-3.4,12.4
