Year,Factor,1w,1w_n,1m,1m_n,3m,3m_n,6m,6m_n
2024,MomentumFactor,0.03565966850240204,52,0.03480360255179422,52,0.09780079887122692,52,0.16671982677721225,52
2024,TrendFactor,0.015558619537271907,52,0.017159178472639463,52,0.08844478299464832,52,0.13773246296201314,52
2024,RiskControlFactor,0.03914782058699737,52,0.06137912311403725,52,0.10753390318553066,52,0.12185318141778691,52
2024,GrowthFactor,0.007232084155161079,52,-0.010940170940170947,52,0.07993425378040761,52,0.1738067061143984,52
2024,QualityFactor,0.0550782607153463,52,0.06385155117578054,52,0.04057811807957994,52,0.08672391996377955,52
2024,FilingFundamentalFactor,0.09138724523339908,52,0.12891518737672583,52,0.20746877054569363,52,0.2396844181459566,52
2024,FilingDurabilityFactor,0.0690335305719921,52,0.06957264957264957,52,0.11654174884944113,52,0.16426035502958578,52
2024,BaseV7Score,0.046581671943184744,52,0.05415418841447762,52,0.11920937794130232,52,0.20373064088303244,52
2024,AlphaScore,0.05541199623513306,52,0.07018909899888764,52,0.137391973988192,52,0.2168820056473004,52
2025,MomentumFactor,-0.026593880570307166,52,-0.024938825049479987,52,0.027757042902553007,52,0.010155702639686915,52
2025,TrendFactor,-0.03257365099201632,52,-0.02690100385553993,52,-0.0022290744136516092,52,-0.003227085631830461,52
2025,RiskControlFactor,0.004174466743046703,52,-0.06224659513742698,52,-0.06404314376197597,52,-0.09956451184419503,52
2025,GrowthFactor,0.01882971729125575,52,0.022058378281279482,52,-0.08114398422090728,52,-0.18928336620644307,52
2025,QualityFactor,0.021420118343195273,52,-0.010276210564845286,52,-0.05907955292570676,52,-0.07370151216305061,52
2025,FilingFundamentalFactor,0.030913872452333988,52,0.02174186562668517,52,-0.0570414201183432,52,-0.13086127547666007,52
2025,FilingDurabilityFactor,0.04255918944360981,52,0.04909363859095243,52,-0.03507458741955995,52,-0.1114521854336738,52
2025,BaseV7Score,-0.00480876187216565,52,-0.019838295178794874,52,-0.053435441088388796,52,-0.09525113373834176,52
2025,AlphaScore,0.003046119620090701,52,-0.020308943528561916,52,-0.06081115769658595,52,-0.107418499187131,52
2026,MomentumFactor,0.0027597868244007492,33,-0.011069840321103685,29,-0.02206593233085666,20,-0.01928126113528656,7
2026,TrendFactor,-0.018716750745029074,33,-0.028561302937321925,29,-0.08232609523585815,20,-0.09992118838207212,7
2026,RiskControlFactor,0.007104734328051523,33,-0.01519519234753949,29,-0.010735913786414437,20,0.1612136512018292,7
2026,GrowthFactor,0.029041902076614893,33,0.03750870485503169,29,-0.18427350427350425,20,-0.1375215605650388,7
2026,QualityFactor,0.034087346512637146,33,0.07336010316520061,29,0.13264957264957264,20,0.11273412577760403,7
2026,FilingFundamentalFactor,0.012203162631587135,33,0.014080116119096623,29,-0.0008205128205128212,20,-0.024668326842239886,7
2026,FilingDurabilityFactor,0.03674259145273454,33,0.06654075060371911,29,0.03432478632478632,20,0.05357845053497227,7
2026,BaseV7Score,0.008103850738117922,33,0.018382992737639665,29,-0.013512918301572354,20,-0.012436905397337621,7
2026,AlphaScore,0.009992786789051022,33,0.022555504834665587,29,-0.004983015995251817,20,-0.03525148686439009,7
