strategy,MeanExposure,CAGR,MDD,Sharpe,Calmar,full_ROI,full_MDD,dotcom_2000_2002_ROI,dotcom_2000_2002_MDD,gfc_2007_2009_ROI,gfc_2007_2009_MDD,covid_2020_ROI,covid_2020_MDD,bear_2022_ROI,bear_2022_MDD,registry_2024_2026_ROI,registry_2024_2026_MDD
buy&hold,1.0,11.268010012659445,-55.1894562066259,0.6588924935615486,0.204169614762514,2821.2501429042677,-55.1894562066259,-36.928457501224884,-47.515848620700766,-15.881080241845524,-55.1894562066259,17.23524035256394,-33.71725779466058,-18.646396226813444,-24.496388734674433,68.36845977121571,-18.75523448942732
V2 (original params),0.9043097324177124,10.582847489759683,-43.140765310685616,0.7042266528061444,0.2453096836262754,2303.171002214229,-43.140765310685616,-26.23128853206268,-36.997562805544625,-0.6057597906470424,-43.140765310685616,25.69225996171962,-24.480135650365497,-16.17386104538999,-17.827513041626187,70.19999708402531,-17.391693127982478
V2 (tuned on 2024-26),0.9038716552214067,10.345971467412852,-46.575051678471134,0.690314230760168,0.22213548014580467,2145.6944937095604,-46.575051678471134,-26.728941716702103,-37.25293589946719,-3.7040758715843003,-45.27541168964141,25.793549440387544,-24.480135650365476,-15.469966018043202,-17.277432091172606,82.91436575026194,-11.478423901514034
A voltgt10,0.7085951990566081,7.790059590869203,-27.492026645576573,0.7584689287134716,0.2833570508023137,970.7167845360964,-27.492026645576573,-21.63210518793316,-27.492026645576583,0.17540124868522522,-22.828331126897062,0.6329376504541351,-18.827477171629415,-10.416264392200548,-14.00619081460267,37.86997117081843,-12.202501417040889
A voltgt12,0.7876030047057757,8.903028281281934,-32.42932764400431,0.7658500224849041,0.27453632030289615,1381.4110619116257,-32.42932764400431,-26.03133123689649,-32.429327644004324,-2.0784927526385832,-26.508936733221432,2.055452944546232,-19.624601097624804,-12.111285010308826,-15.635598930649476,47.053545326744285,-15.269320275324915
A voltgt15,0.8589703163588452,9.614925594353485,-38.89252966423476,0.7358547351978489,0.24721779933988944,1720.168280131844,-38.89252966423476,-32.16035393230946,-38.414202882808425,-1.4092187406680945,-32.04974755270521,4.290348315085546,-21.835345673336406,-15.581241101644661,-19.844651187445795,49.385463330201304,-17.376046596628502
A voltgt20,0.9154937212894048,10.323677018859634,-44.80170175743312,0.7083229309416135,0.23043046611832813,2131.3984830300074,-44.80170175743312,-36.679811823686,-44.60669646870278,-2.4267291048417405,-38.85772881287426,8.247610907485313,-24.392581984067586,-18.105005719129952,-23.952212473815237,56.791146694266544,-17.42900669794132
V2 + voltgt15 (min of both),0.8051365405757829,9.254191353874862,-31.92526468717475,0.7525559445997112,0.28987046605732686,1540.0805517853262,-31.92526468717475,-23.764492776861033,-30.301090188793278,5.881247271501722,-26.87238453453554,10.661390969033668,-17.06030795611879,-11.839382933610255,-14.788785774790192,54.984539815297765,-16.7459561988366
